subject,item,repetition,window,duration,sF0,strF0,pF0,CPP,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,Energy,HNR05,HNR15,HNR25,HNR35,onset,nuc,coda,asp,tone,voicing,semitones,register,contour,manner,pct
F1,phaang5,2,1,335.307,177.7509375,180.56753125,183.840125,17.54796875,2.53703125,9.8728125,31.8281875,36.384375,26.10809375,15.7838125,7.30559375,0.017375,36.2305625,37.51384375,42.32340625,44.783875,ph,aa,N,asp,34,voiceless,-1.31455254201661,high,rising,obstruent,0
F1,phaang5,2,2,335.307,163.202111111111,161.661214285714,166.914928571429,24.6826071428571,0.660392857142857,4.53728571428571,24.0033571428571,24.60825,20.6121428571429,12.364,16.7722142857143,0.0548214285714286,44.7486785714286,39.66175,40.36725,42.0679642857143,ph,aa,N,asp,34,voiceless,-3.22933144531838,high,rising,obstruent,0.1
F1,phaang5,2,3,335.307,145.46835,146.637142857143,151.921571428571,26.997,-2.54607142857143,5.46996428571429,18.1606785714286,18.1425,14.6276071428571,9.18282142857143,18.4772142857143,0.0693214285714286,41.3225357142857,35.2470357142857,36.1243571428571,39.0712142857143,ph,aa,N,asp,34,voiceless,-4.91800754336431,high,rising,obstruent,0.2
F1,phaang5,2,4,335.307,145.3905,145.304714285714,145.212142857143,28.3649642857143,-3.00542857142857,5.00057142857143,17.3175,17.0921071428571,15.7543214285714,10.3040357142857,20.5304642857143,0.0587142857142857,61.0315714285714,53.0738928571429,51.2912857142857,51.3334285714286,ph,aa,N,asp,34,voiceless,-5.07603638858054,high,rising,obstruent,0.3
F1,phaang5,2,5,335.307,145.772535714286,145.77875,145.263357142857,30.2418571428571,-3.14903571428571,4.08228571428571,15.7593928571429,13.1296428571429,11.5877142857143,5.68560714285714,23.0125357142857,0.0539285714285714,66.8091428571429,59.9092142857143,58.2082142857143,57.6983571428571,ph,aa,N,asp,34,voiceless,-5.01964929723183,high,rising,obstruent,0.4
F1,phaang5,2,6,335.307,152.724678571429,152.994178571429,148.847571428571,26.1428928571429,-3.08967857142857,3.86542857142857,16.2261428571429,13.9516071428571,11.9173571428571,7.812,19.2188928571429,0.0365,55.4429285714286,48.9208214285714,47.5186785714286,47.7108928571429,ph,aa,N,asp,34,voiceless,-4.18329340426434,high,rising,obstruent,0.5
F1,phaang5,2,7,335.307,161.099178571429,161.480607142857,157.365964285714,23.7659285714286,-2.64528571428571,6.22589285714286,25.1559642857143,20.6738214285714,20.1709285714286,13.1898214285714,14.6801071428571,0.0134642857142857,55.8443928571429,50.6094642857143,49.91275,49.1991428571429,ph,aa,N,asp,34,voiceless,-3.24868352214917,high,rising,obstruent,0.6
F1,phaang5,2,8,335.307,170.683607142857,171.158607142857,165.845071428571,21.7575,-3.47453571428571,14.1257857142857,25.8466785714286,25.4483214285714,22.1233214285714,8.98060714285714,12.7761785714286,0.00514285714285714,55.6634285714286,54.18625,54.9791785714286,53.7355,ph,aa,N,asp,34,voiceless,-2.24100839241598,high,rising,obstruent,0.7
F1,phaang5,2,9,335.307,180.683214285714,180.841321428571,176.749571428571,19.3348214285714,-5.26853571428571,16.3329642857143,30.8988571428571,36.8434642857143,26.7909285714286,19.9230357142857,-0.114464285714286,0.004,50.60775,52.0512857142857,55.6773571428571,55.52125,ph,aa,N,asp,34,voiceless,-1.28832214026497,high,rising,obstruent,0.8
F1,phaang5,2,10,335.307,184.450892857143,184.382678571429,183.216035714286,21.12025,-7.16985714285714,18.4520714285714,31.8116071428571,38.4676428571429,29.1003928571429,18.2759285714286,1.00414285714286,0.004,53.354,55.6178214285714,58.2718214285714,58.2636785714286,ph,aa,N,asp,34,voiceless,-0.952576941718615,high,rising,obstruent,0.9
F1,phaang5,2,11,335.307,188.826928571429,189.5425,186.397857142857,20.1277142857143,-6.77607142857143,20.1512857142857,33.1216785714286,38.4600714285714,31.2305357142857,19.9201428571429,-0.790357142857143,0.00364285714285714,53.22925,56.2231428571429,59.4871428571429,59.8666428571429,ph,aa,N,asp,34,voiceless,-0.474758056936784,high,rising,obstruent,1
